== WUMPUS WORLD AGENT RESULT ==

Final score: -142
Gold collected: No
Total steps: 400

Action log:
Step  1: Pos (1, 0) - Action: MOVE            | Point: -1
Step  2: Pos (2, 0) - Action: MOVE            | Point: -2
Step  3: Pos (3, 0) - Action: MOVE            | Point: -3
Step  4: Pos (4, 0) - Action: MOVE            | Point: -4
Step  5: Pos (5, 0) - Action: MOVE            | Point: -5
Step  6: Pos (5, 0) - Action: TURN_LEFT       | Point: -5
Step  7: Pos (5, 0) - Action: TURN_LEFT       | Point: -5
Step  8: Pos (4, 0) - Action: MOVE            | Point: -6
Step  9: Pos (4, 0) - Action: TURN_RIGHT      | Point: -6
Step 10: Pos (4, 1) - Action: MOVE            | Point: -7
Step 11: Pos (4, 1) - Action: TURN_LEFT       | Point: -7
Step 12: Pos (3, 1) - Action: MOVE            | Point: -8
Step 13: Pos (2, 1) - Action: MOVE            | Point: -9
Step 14: Pos (1, 1) - Action: MOVE            | Point: -10
Step 15: Pos (0, 1) - Action: MOVE            | Point: -11
Step 16: Pos (0, 1) - Action: TURN_RIGHT      | Point: -11
Step 17: Pos (0, 2) - Action: MOVE            | Point: -12
Step 18: Pos (0, 2) - Action: TURN_LEFT       | Point: -12
Step 19: Pos (0, 2) - Action: TURN_LEFT       | Point: -12
Step 20: Pos (0, 1) - Action: MOVE            | Point: -13
Step 21: Pos (0, 1) - Action: TURN_LEFT       | Point: -13
Step 22: Pos (1, 1) - Action: MOVE            | Point: -14
Step 23: Pos (2, 1) - Action: MOVE            | Point: -15
Step 24: Pos (2, 1) - Action: TURN_LEFT       | Point: -15
Step 25: Pos (2, 2) - Action: MOVE            | Point: -16
Step 26: Pos (2, 2) - Action: TURN_RIGHT      | Point: -16
Step 27: Pos (3, 2) - Action: MOVE            | Point: -17
Step 28: Pos (3, 2) - Action: TURN_RIGHT      | Point: -17
Step 29: Pos (3, 1) - Action: MOVE            | Point: -18
Step 30: Pos (3, 0) - Action: MOVE            | Point: -19
Step 31: Pos (3, 0) - Action: TURN_LEFT       | Point: -19
Step 32: Pos (3, 0) - Action: TURN_LEFT       | Point: -19
Step 33: Pos (3, 1) - Action: MOVE            | Point: -20
Step 34: Pos (3, 1) - Action: TURN_LEFT       | Point: -20
Step 35: Pos (3, 1) - Action: TURN_LEFT       | Point: -20
Step 36: Pos (3, 0) - Action: MOVE            | Point: -21
Step 37: Pos (3, 0) - Action: TURN_LEFT       | Point: -21
Step 38: Pos (3, 0) - Action: TURN_LEFT       | Point: -21
Step 39: Pos (3, 1) - Action: MOVE            | Point: -22
Step 40: Pos (3, 1) - Action: TURN_LEFT       | Point: -22
Step 41: Pos (3, 1) - Action: TURN_LEFT       | Point: -22
Step 42: Pos (3, 0) - Action: MOVE            | Point: -23
Step 43: Pos (3, 0) - Action: TURN_LEFT       | Point: -23
Step 44: Pos (3, 0) - Action: TURN_LEFT       | Point: -23
Step 45: Pos (3, 1) - Action: MOVE            | Point: -24
Step 46: Pos (3, 1) - Action: TURN_LEFT       | Point: -24
Step 47: Pos (3, 1) - Action: TURN_LEFT       | Point: -24
Step 48: Pos (3, 0) - Action: MOVE            | Point: -25
Step 49: Pos (3, 0) - Action: TURN_LEFT       | Point: -25
Step 50: Pos (3, 0) - Action: TURN_LEFT       | Point: -25
Step 51: Pos (3, 1) - Action: MOVE            | Point: -26
Step 52: Pos (3, 1) - Action: TURN_LEFT       | Point: -26
Step 53: Pos (3, 1) - Action: TURN_LEFT       | Point: -26
Step 54: Pos (3, 0) - Action: MOVE            | Point: -27
Step 55: Pos (3, 0) - Action: TURN_LEFT       | Point: -27
Step 56: Pos (3, 0) - Action: TURN_LEFT       | Point: -27
Step 57: Pos (3, 1) - Action: MOVE            | Point: -28
Step 58: Pos (3, 1) - Action: TURN_LEFT       | Point: -28
Step 59: Pos (3, 1) - Action: TURN_LEFT       | Point: -28
Step 60: Pos (3, 0) - Action: MOVE            | Point: -29
Step 61: Pos (3, 0) - Action: TURN_LEFT       | Point: -29
Step 62: Pos (3, 0) - Action: TURN_LEFT       | Point: -29
Step 63: Pos (3, 1) - Action: MOVE            | Point: -30
Step 64: Pos (3, 1) - Action: TURN_LEFT       | Point: -30
Step 65: Pos (3, 1) - Action: TURN_LEFT       | Point: -30
Step 66: Pos (3, 0) - Action: MOVE            | Point: -31
Step 67: Pos (3, 0) - Action: TURN_LEFT       | Point: -31
Step 68: Pos (3, 0) - Action: TURN_LEFT       | Point: -31
Step 69: Pos (3, 1) - Action: MOVE            | Point: -32
Step 70: Pos (3, 1) - Action: TURN_LEFT       | Point: -32
Step 71: Pos (3, 1) - Action: TURN_LEFT       | Point: -32
Step 72: Pos (3, 0) - Action: MOVE            | Point: -33
Step 73: Pos (3, 0) - Action: TURN_LEFT       | Point: -33
Step 74: Pos (3, 0) - Action: TURN_LEFT       | Point: -33
Step 75: Pos (3, 1) - Action: MOVE            | Point: -34
Step 76: Pos (3, 1) - Action: TURN_LEFT       | Point: -34
Step 77: Pos (3, 1) - Action: TURN_LEFT       | Point: -34
Step 78: Pos (3, 0) - Action: MOVE            | Point: -35
Step 79: Pos (3, 0) - Action: TURN_LEFT       | Point: -35
Step 80: Pos (3, 0) - Action: TURN_LEFT       | Point: -35
Step 81: Pos (3, 1) - Action: MOVE            | Point: -36
Step 82: Pos (3, 1) - Action: TURN_LEFT       | Point: -36
Step 83: Pos (3, 1) - Action: TURN_LEFT       | Point: -36
Step 84: Pos (3, 0) - Action: MOVE            | Point: -37
Step 85: Pos (3, 0) - Action: TURN_LEFT       | Point: -37
Step 86: Pos (3, 0) - Action: TURN_LEFT       | Point: -37
Step 87: Pos (3, 1) - Action: MOVE            | Point: -38
Step 88: Pos (3, 1) - Action: TURN_LEFT       | Point: -38
Step 89: Pos (3, 1) - Action: TURN_LEFT       | Point: -38
Step 90: Pos (3, 0) - Action: MOVE            | Point: -39
Step 91: Pos (3, 0) - Action: TURN_LEFT       | Point: -39
Step 92: Pos (3, 0) - Action: TURN_LEFT       | Point: -39
Step 93: Pos (3, 1) - Action: MOVE            | Point: -40
Step 94: Pos (3, 1) - Action: TURN_LEFT       | Point: -40
Step 95: Pos (3, 1) - Action: TURN_LEFT       | Point: -40
Step 96: Pos (3, 0) - Action: MOVE            | Point: -41
Step 97: Pos (3, 0) - Action: TURN_LEFT       | Point: -41
Step 98: Pos (3, 0) - Action: TURN_LEFT       | Point: -41
Step 99: Pos (3, 1) - Action: MOVE            | Point: -42
Step 100: Pos (3, 1) - Action: TURN_LEFT       | Point: -42
Step 101: Pos (3, 1) - Action: TURN_LEFT       | Point: -42
Step 102: Pos (3, 0) - Action: MOVE            | Point: -43
Step 103: Pos (3, 0) - Action: TURN_LEFT       | Point: -43
Step 104: Pos (3, 0) - Action: TURN_LEFT       | Point: -43
Step 105: Pos (3, 1) - Action: MOVE            | Point: -44
Step 106: Pos (3, 1) - Action: TURN_LEFT       | Point: -44
Step 107: Pos (3, 1) - Action: TURN_LEFT       | Point: -44
Step 108: Pos (3, 0) - Action: MOVE            | Point: -45
Step 109: Pos (3, 0) - Action: TURN_LEFT       | Point: -45
Step 110: Pos (3, 0) - Action: TURN_LEFT       | Point: -45
Step 111: Pos (3, 1) - Action: MOVE            | Point: -46
