== WUMPUS WORLD AGENT RESULT ==

Final score: -1032
Gold collected: No
Total steps: 81

Action log:
Step  1: Pos (1, 0) - Action: MOVE            | Point: -1
Step  2: Pos (2, 0) - Action: MOVE            | Point: -2
Step  3: Pos (2, 0) - Action: TURN_LEFT       | Point: -2
Step  4: Pos (2, 0) - Action: TURN_LEFT       | Point: -2
Step  5: Pos (1, 0) - Action: MOVE            | Point: -3
Step  6: Pos (1, 0) - Action: TURN_RIGHT      | Point: -3
Step  7: Pos (1, 1) - Action: MOVE            | Point: -4
Step  8: Pos (1, 1) - Action: TURN_LEFT       | Point: -4
Step  9: Pos (0, 1) - Action: MOVE            | Point: -5
Step 10: Pos (0, 1) - Action: TURN_RIGHT      | Point: -5
Step 11: Pos (0, 2) - Action: MOVE            | Point: -6
Step 12: Pos (0, 2) - Action: TURN_RIGHT      | Point: -6
Step 13: Pos (1, 2) - Action: MOVE            | Point: -7
Step 14: Pos (2, 2) - Action: MOVE            | Point: -8
Step 15: Pos (3, 2) - Action: MOVE            | Point: -9
Step 16: Pos (3, 2) - Action: TURN_LEFT       | Point: -9
Step 17: Pos (3, 2) - Action: TURN_LEFT       | Point: -9
Step 18: Pos (2, 2) - Action: MOVE            | Point: -10
Step 19: Pos (2, 2) - Action: TURN_LEFT       | Point: -10
Step 20: Pos (2, 1) - Action: MOVE            | Point: -11
Step 21: Pos (2, 1) - Action: TURN_LEFT       | Point: -11
Step 22: Pos (3, 1) - Action: MOVE            | Point: -12
Step 23: Pos (3, 1) - Action: TURN_LEFT       | Point: -12
Step 24: Pos (3, 2) - Action: MOVE            | Point: -13
Step 25: Pos (3, 2) - Action: TURN_LEFT       | Point: -13
Step 26: Pos (3, 2) - Action: TURN_LEFT       | Point: -13
Step 27: Pos (3, 1) - Action: MOVE            | Point: -14
Step 28: Pos (3, 1) - Action: TURN_LEFT       | Point: -14
Step 29: Pos (3, 1) - Action: TURN_LEFT       | Point: -14
Step 30: Pos (3, 2) - Action: MOVE            | Point: -15
Step 31: Pos (3, 2) - Action: TURN_LEFT       | Point: -15
Step 32: Pos (3, 2) - Action: TURN_LEFT       | Point: -15
Step 33: Pos (3, 1) - Action: MOVE            | Point: -16
Step 34: Pos (3, 1) - Action: TURN_LEFT       | Point: -16
Step 35: Pos (3, 1) - Action: TURN_LEFT       | Point: -16
Step 36: Pos (3, 2) - Action: MOVE            | Point: -17
Step 37: Pos (3, 2) - Action: TURN_LEFT       | Point: -17
Step 38: Pos (3, 2) - Action: TURN_LEFT       | Point: -17
Step 39: Pos (3, 1) - Action: MOVE            | Point: -18
Step 40: Pos (3, 1) - Action: TURN_LEFT       | Point: -18
Step 41: Pos (3, 1) - Action: TURN_LEFT       | Point: -18
Step 42: Pos (3, 2) - Action: MOVE            | Point: -19
Step 43: Pos (3, 2) - Action: TURN_LEFT       | Point: -19
Step 44: Pos (3, 2) - Action: TURN_LEFT       | Point: -19
Step 45: Pos (3, 1) - Action: MOVE            | Point: -20
Step 46: Pos (3, 1) - Action: TURN_LEFT       | Point: -20
Step 47: Pos (3, 1) - Action: TURN_LEFT       | Point: -20
Step 48: Pos (3, 2) - Action: MOVE            | Point: -21
Step 49: Pos (3, 2) - Action: TURN_LEFT       | Point: -21
Step 50: Pos (3, 2) - Action: TURN_LEFT       | Point: -21
Step 51: Pos (3, 1) - Action: MOVE            | Point: -22
Step 52: Pos (3, 1) - Action: TURN_LEFT       | Point: -22
Step 53: Pos (3, 1) - Action: TURN_LEFT       | Point: -22
Step 54: Pos (3, 2) - Action: MOVE            | Point: -23
Step 55: Pos (3, 2) - Action: TURN_LEFT       | Point: -23
Step 56: Pos (3, 2) - Action: TURN_LEFT       | Point: -23
Step 57: Pos (3, 1) - Action: MOVE            | Point: -24
Step 58: Pos (3, 1) - Action: TURN_LEFT       | Point: -24
Step 59: Pos (3, 1) - Action: TURN_LEFT       | Point: -24
Step 60: Pos (3, 2) - Action: MOVE            | Point: -25
Step 61: Pos (3, 2) - Action: TURN_LEFT       | Point: -25
Step 62: Pos (3, 2) - Action: TURN_LEFT       | Point: -25
Step 63: Pos (3, 1) - Action: MOVE            | Point: -26
Step 64: Pos (3, 1) - Action: TURN_LEFT       | Point: -26
Step 65: Pos (3, 1) - Action: TURN_LEFT       | Point: -26
Step 66: Pos (3, 2) - Action: MOVE            | Point: -27
Step 67: Pos (3, 2) - Action: TURN_LEFT       | Point: -27
Step 68: Pos (3, 2) - Action: TURN_LEFT       | Point: -27
Step 69: Pos (3, 1) - Action: MOVE            | Point: -28
Step 70: Pos (3, 1) - Action: TURN_LEFT       | Point: -28
Step 71: Pos (3, 1) - Action: TURN_LEFT       | Point: -28
Step 72: Pos (3, 2) - Action: MOVE            | Point: -29
Step 73: Pos (3, 2) - Action: TURN_LEFT       | Point: -29
Step 74: Pos (3, 2) - Action: TURN_LEFT       | Point: -29
Step 75: Pos (3, 1) - Action: MOVE            | Point: -30
Step 76: Pos (3, 1) - Action: TURN_LEFT       | Point: -30
Step 77: Pos (3, 1) - Action: TURN_LEFT       | Point: -30
Step 78: Pos (3, 2) - Action: MOVE            | Point: -31
Step 79: Pos (3, 2) - Action: TURN_LEFT       | Point: -31
Step 80: Pos (3, 2) - Action: TURN_LEFT       | Point: -31
Step 81: Pos (3, 1) - Action: DIE             | Point: -1032
